title,price_text,price,location,date,url,image,year,mileage_km,fuel,gearbox,brand,model,_errors
Renault Clio IV 1.5 dCi 90ch Limited edition,6490 EUR,6490,,,https://www.leboncoin.fr/ad/voitures/3024040783,https://img.leboncoin.fr/api/v1/lbcpb1/images/66/b8/d2/66b8d2e8a71bbb069b43e629aac0964585dfc2d3.jpg?rule=ad-image,2016,206000,,Manuelle,RENAULT,Clio,
Clio 4 1L5DCI,5200 EUR,5200,,,https://www.leboncoin.fr/ad/voitures/3023660971,https://img.leboncoin.fr/api/v1/lbcpb1/images/3a/e9/84/3ae98412a14846e42fedc5f6c5cc13d8776bb89b.jpg?rule=ad-image,2014,198000,,Manuelle,RENAULT,Clio,
Clio 4 auto école,6900 EUR,6900,,,https://www.leboncoin.fr/ad/voitures/3021741658,https://img.leboncoin.fr/api/v1/lbcpb1/images/d9/f6/2e/d9f62e8a588d0164cc0de2b86f1d966842295c9d.jpg?rule=ad-image,2019,105948,,Manuelle,RENAULT,Clio,
Clio 4,5500 EUR,5500,,,https://www.leboncoin.fr/ad/voitures/3021266349,https://img.leboncoin.fr/api/v1/lbcpb1/images/1e/7b/95/1e7b9579ac4df5769c5e9fe61e288d6d7eaace74.jpg?rule=ad-image,2012,249000,,Manuelle,RENAULT,Clio,
Clio 4 tce 90 édition limited phase 2,6990 EUR,6990,,,https://www.leboncoin.fr/ad/voitures/3020909050,https://img.leboncoin.fr/api/v1/lbcpb1/images/1f/65/53/1f6553c1edf627fed9df9be26aa57d93e87ba80f.jpg?rule=ad-image,2016,175000,,Manuelle,RENAULT,Clio,
Renault Clio 4 1.5 dCi 90 édition Limited,6690 EUR,6690,,,https://www.leboncoin.fr/ad/voitures/3019318677,https://img.leboncoin.fr/api/v1/lbcpb1/images/09/64/fb/0964fb0b419377cbc4dd43a915bbf7c98e723c62.jpg?rule=ad-image,2016,209000,,Manuelle,RENAULT,Clio,
Clio 4 90cv Limited,5300 EUR,5300,,,https://www.leboncoin.fr/ad/voitures/3017522417,https://img.leboncoin.fr/api/v1/lbcpb1/images/d9/8b/15/d98b15aebc4e05a7a861467f1ab6c453f0e6f98b.jpg?rule=ad-image,2015,215000,,Manuelle,RENAULT,Clio,
Clio 4 à vendre,5800 EUR,5800,,,https://www.leboncoin.fr/ad/voitures/2981973396,https://img.leboncoin.fr/api/v1/lbcpb1/images/04/92/e4/0492e4e6dd2cc12fea0ab7436daa0863602a4cec.jpg?rule=ad-image,2013,185,,Manuelle,RENAULT,Clio,
Clio 4,7000 EUR,7000,,,https://www.leboncoin.fr/ad/voitures/3014372379,https://img.leboncoin.fr/api/v1/lbcpb1/images/d7/0d/75/d70d7564412924eb83afb9b122feb61bd4714314.jpg?rule=ad-image,2017,165000,,Manuelle,RENAULT,Clio,
Clio 4,6200 EUR,6200,,,https://www.leboncoin.fr/ad/equipement_auto/3013696065,https://img.leboncoin.fr/api/v1/lbcpb1/images/fb/86/4b/fb864bc50c680a8ed26b95f85cfe23c9d11baeb2.jpg?rule=ad-image,,,,,,,
